"filename", "language", "JavaScript", "JavaScript JSX", "XML", "SCSS", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\Product\Product.scss", "SCSS", 0, 0, 0, 254, 0, 0, 0, 3, 257
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\Products.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 1, 4, 72
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\Products.scss", "SCSS", 0, 0, 0, 73, 0, 0, 0, 1, 74
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Register\Register.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 1, 70
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Register\Register.scss", "SCSS", 0, 0, 0, 145, 0, 0, 0, 2, 147
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Review\Review.jsx", "JavaScript JSX", 0, 163, 0, 0, 0, 0, 0, 12, 175
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Review\Review.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\ScrollToTop\ScrollToTop.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\ScrollToTop\style.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 43
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\SingleProduct\SingleProduct.jsx", "JavaScript JSX", 0, 646, 0, 0, 0, 0, 4, 12, 662
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\SingleProduct\SingleProduct.scss", "SCSS", 0, 0, 0, 776, 0, 0, 0, 5, 781
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\css-config\media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\css-config\mixins.scss", "SCSS", 0, 0, 0, 103, 0, 0, 0, 6, 109
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\index.css", "CSS", 0, 0, 0, 0, 133, 0, 0, 3, 136
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\layouts\AdminLayout.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\layouts\UserLayout.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\layouts\css\AdminLayout.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\api.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\auth.js", "JavaScript", 30, 0, 0, 0, 0, 0, 1, 3, 34
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\bannerHomepage.js", "JavaScript", 41, 0, 0, 0, 0, 0, 2, 2, 45
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\categories.js", "JavaScript", 49, 0, 0, 0, 0, 0, 2, 5, 56
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\categoryHomepage.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\color.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\order.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\product.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 2, 55
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\review.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\size.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\tag.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\type.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\upload.js", "JavaScript", 25, 0, 0, 0, 0, 0, 2, 4, 31
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\services\user.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\utils\context.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 4, 13, 126
"Total", "-", 674, 5752, 17, 4142, 225, 115014, 92, 365, 126281
